Date (Quarterly),GDP YoY % Change,PMI,CPI,Core CPI,Unemployment Levels %,Unnamed: 6,Unnamed: 7,Consensus Forecast,Unnamed: 9,GDP,PMI.1,CPI F,Core CPI.1,Unemployment,Unnamed: 15,Surprise,GDP.1,PMI.2,CPI.1,Core CPI.2,Unemployment 
2010-01-01,1.74527,,2.35257,1.048316833,9.8,,,,,4.39834194,,1.91,1.24,9.93,,,-2.65307194,0.0,0.44257,-0.191683167,-0.13
2010-04-01,2.9136,,1.77527,0.813575833,9.6,,,,,4.63497372,,1.21,1.08,9.75,,,-1.72137372,0.0,0.56527,-0.266424167,-0.15
2010-07-01,3.34421,,1.20288,0.699684933,9.5,,,,,4.028182,,1.24,1.29,9.63,,,-0.683972,0.0,-0.03712,-0.590315067,-0.13
2010-10-01,2.77596,,1.22978,0.775474467,9.5,,,,,4.074264,,1.96,1.09,9.62,,,-1.298304,0.0,-0.73022,-0.314525533,-0.12
2011-01-01,2.0378,,2.14822,1.083932067,9.0,,,,,5.04485476,,2.42,1.12,9.29,,,-3.00705476,0.0,-0.27178,-0.036067933,-0.29
2011-04-01,1.74371,,3.34611,1.253441333,9.1,,,,,5.2286708,,3.42,1.64,8.83,,,-3.4849608,0.0,-0.07389,-0.386558667,0.27
2011-07-01,0.94265,,3.71595,1.597132333,9.0,,,,,4.2710925,,1.7,2.11,9.07,,,-3.3284425,0.0,2.01595,-0.512867667,-0.07
2011-10-01,1.54308,,3.34473,1.905452,8.6,,,,,4.31380988,,1.9,1.65,9.03,,,-2.77072988,0.0,1.44473,0.255452,-0.43
2012-01-01,2.63807,,2.82932,2.084076667,8.3,,,,,4.41875925,,2.0,1.91,8.4,,,-1.78068925,0.0,0.82932,0.174076667,-0.1
2012-04-01,2.40334,,1.88792,2.206308333,8.2,,,,,4.48035051,,2.07,1.99,8.14,,,-2.07701051,0.0,-0.18208,0.216308333,0.06
2012-07-01,2.57371,,1.68486,2.216934,8.0,,,,,4.05483216,,1.69,2.08,8.19,,,-1.48112216,0.0,-0.00514,0.136934,-0.19
2012-10-01,1.55185,,1.90357,2.169771,7.8,,,,,4.12901868,,2.29,1.81,7.9,,,-2.57716868,0.0,-0.38643,0.359771,-0.1
2013-01-01,1.70087,,1.7402,2.102180333,7.7,,,,,4.35409076,,1.7,1.75,7.82,,,-2.65322076,0.0,0.0402,0.352180333,-0.12
2013-04-01,1.51994,,1.41472,1.903783,7.5,,,,,4.31477292,,1.2,1.87,7.59,,,-2.79483292,0.0,0.21472,0.033783,-0.09
2013-07-01,2.23702,,1.50495,1.888414667,7.2,,,,,4.34928234,,2.1,1.71,7.43,,,-2.11226234,0.0,-0.59505,0.178414667,-0.23
2013-10-01,3.00914,,1.2073,1.876679667,6.9,,,,,4.35110045,,1.64,1.71,7.23,,,-1.34196045,0.0,-0.4327,0.166679667,-0.33
2014-01-01,1.65082,,1.42991,1.810864333,6.7,,,,,4.43575772,,1.77,1.81,6.69,,,-2.78493772,0.0,-0.34009,0.000864333,0.01
2014-04-01,2.68915,,2.08034,2.098655333,6.2,,,,,4.88576571,,1.94,1.83,6.38,,,-2.19661571,0.0,0.14034,0.268655333,-0.18
2014-07-01,3.05978,,1.79097,2.002502,6.1,,,,,4.57646821,,2.14,2.08,6.12,,,-1.51668821,0.0,-0.34903,-0.077498,-0.02
2014-10-01,2.68584,,1.16401,1.987279,5.7,,,,,4.71732374,,0.85,1.65,5.87,,,-2.03148374,0.0,0.31401,0.337279,-0.17
2015-01-01,3.9693,,-0.11289,1.979496,5.5,,,,,4.34074038,,-1.43,1.31,5.58,,,-0.37144038,0.0,1.31711,0.669496,-0.08
2015-04-01,3.27909,,0.03701,2.071334333,5.4,,,,,4.44749091,,1.65,1.8,5.42,,,-1.16840091,0.0,-1.61299,0.271334333,-0.02
2015-07-01,2.44732,,0.15861,2.189406,5.1,,,,,4.55829015,,1.83,1.85,5.25,,,-2.11097015,0.0,-1.67139,0.339406,-0.15
2015-10-01,2.11986,,0.40047,2.389204667,5.0,,,,,4.35145948,,0.93,1.78,5.03,,,-2.23159948,0.0,-0.52953,0.609204667,-0.03
2016-01-01,1.79502,,0.99184,2.508448667,4.9,,,,,4.08449484,,0.27,1.76,4.91,,,-2.28947484,0.0,0.72184,0.748448667,-0.01
2016-04-01,1.49325,,1.11003,2.553579,4.9,,,,,4.10737758,,1.85,1.98,4.9,,,-2.61412758,0.0,-0.73997,0.573579,0.0
2016-07-01,1.80576,,1.15715,2.636933667,4.9,,,,,4.24976951,,1.87,2.02,4.83,,,-2.44400951,0.0,-0.71285,0.616933667,0.07
2016-10-01,2.18157,,1.80698,2.535372667,4.8,,,,,4.2519389,,2.41,2.06,4.85,,,-2.0703689,0.0,-0.60302,0.475372667,-0.05
2017-01-01,2.08746,,2.58713,2.584297,4.6,,,,,4.55895991,,2.61,2.27,4.71,,,-2.47149991,0.0,-0.02287,0.314297,-0.11
2017-04-01,2.33041,,1.89059,2.165805,4.4,,,,,4.75841665,,1.61,1.92,4.52,,,-2.42800665,0.0,0.28059,0.245805,-0.12
